"rowType","checkName","status","details"
"page","uuid-generator:pt","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","uuid-generator:it","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","uuid-generator:pl","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","uuid-generator:ru","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","uuid-generator:tr","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","uuid-generator:id","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","uuid-generator:sv","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","uuid-generator:ms","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","uuid-generator:bg","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
"page","uuid-generator:hi","PASS","page_exists=PASS;expected_tool=PASS;not_noindex_tool=PASS;not_redirected_tool=PASS;robots_index=PASS;canonical_self=PASS;sitemap_present=PASS;lang_ok=PASS;dir_ok=PASS;hreflang_complete=PASS;hreflang_same_tool=PASS;switch_same_tool=PASS;no_homepage_fallback=PASS;no_broken_internal_links=PASS;no_preview_hosts=PASS;no_unsafe_legacy_strings=PASS;seo_quality=PASS;adsense_user_quality=PASS"
